model,retailer,value,final_price,html_price,rendered_price,previous_week_price,base_value,discount,promo_note,source_method,availability,availability_method,availability_text,risk_flags,confidence,decision_note,status,error,fetched_at,url
"iPad Air M4  13"" 128 GB Wifi",CPS,25190000,25190000,25190000,,25190000,25190000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:28,https://cellphones.com.vn/apple-ipad-air-m4-13-inch-128gb-wifi.html
"iPad Air M4  13"" 128 GB Wifi",Shopdunk,24490000,24490000,24490000,,24490000,24490000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:29:29,https://shopdunk.com/ipad-air-m4-13-inch-wi-fi-v1
iPad Pro M5 11” 256GB Wifi,Viettel,,,,,32990000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:29:30,https://viettelstore.vn/may-tinh-bang/may-tinh-bang-ipad-pro-m5-11-inch-wifi-256gb-pid356793.html
iPad Pro M5 11” 256GB Wifi,FPT,33990000,33990000,33990000,,33990000,33990000,0,,fpt_variant_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:31,https://fptshop.com.vn/may-tinh-bang/ipad-pro-11-m5-2025-wifi-12gb
iPad Pro M5 11” 256GB Wifi,MW,34490000,34490000,34490000,,34490000,35590000,1100000,"Giảm giá 1,100,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:32,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m5-11-inch-wifi-256gb
iPad Pro M5 11” 256GB Wifi,CPS,34290000,34290000,34290000,,34290000,34290000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:36,https://cellphones.com.vn/ipad-pro-m5-11-inch-256gb.html
iPad Pro M5 11” 256GB Wifi,Shopdunk,32990000,32990000,32990000,,32990000,32990000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:29:38,https://shopdunk.com/ipad-pro-m5-11-inch-wi-fi
iPad Pro M5 13” 256GB Wifi,Viettel,,,,,42990000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:29:38,https://viettelstore.vn/may-tinh-bang/may-tinh-bang-ipad-pro-m5-13-inch-wifi-256gb-pid356802.html
iPad Pro M5 13” 256GB Wifi,FPT,43290000,43290000,43290000,,43290000,43290000,0,,fpt_variant_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:40,https://fptshop.com.vn/may-tinh-bang/ipad-pro-13-m5-2025-wifi-12gb
iPad Pro M5 13” 256GB Wifi,MW,43790000,43790000,43790000,,43790000,43790000,0,,mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:41,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m5-13-inch-wifi-256gb
iPad Pro M5 13” 256GB Wifi,CPS,43590000,43590000,43590000,,43590000,43590000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:45,https://cellphones.com.vn/ipad-pro-m5-13-inch-256gb.html
iPad Pro M5 13” 256GB Wifi,Shopdunk,44590000,44590000,44590000,,44590000,44590000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:29:49,https://shopdunk.com/ipad-pro-m5-13-inch-wi-fi
AW SE 3 (40mm GPS),Viettel,,,,,5990000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:29:50,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-se-3-vien-nhom-gps-40mm-day-cao-su-s-m-pid355618.html
AW SE 3 (40mm GPS),FPT,6790000,6790000,6790000,6790000,6490000,6790000,0,,fpt_structured_offer_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:29:51,https://fptshop.com.vn/smartwatch/apple-watch-se-3-gps-40mm-vien-nhom-day-cao-su
AW SE 3 (40mm GPS),MW,6790000,6790000,6790000,6790000,6590000,6790000,0,,mw_visible_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_dom:.box-price-present,OK,,2026-09-10T15:29:55,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-40mm-vien-nhom-day-the-thao
AW SE 3 (40mm GPS),CPS,6690000,6690000,6690000,6690000,6290000,6690000,0,,cps_sale_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_dom:.sale-price,OK,,2026-09-10T15:29:57,https://cellphones.com.vn/apple-watch-se-3-40mm-size-m-l.html
